dataset,project,package,complextype,severity,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
data-class,fitjava-1.1,fat,HtmlToTextFixture,1.0,1.0,1.0,0.0,5.0,1.0,3.0,1.0,1.0,15.0,701.0,2453.0,15.0,32.0,0.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,2.0,72.0,254.0,2.0,1.0,2.0,51.0,1.0,2.0,2.0,0.5,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,public
data-class,fitjava-1.1,fat,Equals,1.0,5.0,5.0,2.0,7.0,13.0,3.0,5.0,0.9,70.0,701.0,2453.0,70.0,30.0,3.0,0.0,7.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,0.0,2.0,52.0,0.2,30.0,30.0,1.0,0.0,other,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,public
data-class,fitjava-1.1,fat,AnnotationFixture,1.0,4.2,4.2,5.0,5.0,6.0,3.0,1.0,1.0,83.0,701.0,2453.0,83.0,32.0,0.0,0.0,19.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,5.0,72.0,254.0,5.0,19.0,2.0,57.0,1.0,21.0,21.0,0.05,0.0,other,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,public
data-class,fitjava-1.1,fat,TextToHtmlFixture,1.0,1.0,1.0,0.0,5.0,2.0,3.0,2.0,1.0,20.0,701.0,2453.0,20.0,32.0,0.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,3.0,72.0,254.0,3.0,1.0,2.0,52.0,1.0,3.0,3.0,0.5,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,public
data-class,fitjava-1.1,fit,Summary,1.0,1.6,1.6,4.0,5.0,6.0,2.0,3.0,0.75,49.0,1752.0,2453.0,49.0,25.0,1.0,0.0,1.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,171.0,243.0,5.0,182.0,254.0,5.0,1.0,2.0,44.0,0.1,8.0,8.0,0.5,0.0,other,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,public
data-class,fitjava-1.1,fit,FileRunner,1.0,1.5714285714285714,1.5714285714285714,5.0,3.0,7.0,1.0,2.0,0.7083333333333334,72.0,1752.0,2453.0,72.0,0.0,0.0,0.0,4.0,40.0,60.0,0.0,1.0,0.0,0.0,0.0,171.0,243.0,7.0,182.0,254.0,7.0,4.0,2.0,14.0,0.7142857142857143,11.0,11.0,0.5,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,public
data-class,fitjava-1.1,fit,ColumnFixture,2.0,2.3,2.3,5.0,5.0,12.0,2.0,3.0,0.8888888888888888,98.0,1752.0,2453.0,98.0,22.0,4.0,0.0,2.0,40.0,60.0,0.0,13.0,0.0,0.0,0.0,171.0,243.0,10.0,182.0,254.0,10.0,0.0,2.0,48.0,0.13333333333333333,23.0,23.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,0.0,public
data-class,fitjava-1.1,fit,ScientificDouble,1.0,1.7272727272727273,1.7272727272727273,0.0,0.0,0.0,2.0,0.0,0.7,70.0,1752.0,2453.0,70.0,6.0,1.0,0.0,2.0,40.0,60.0,0.0,0.0,1.0,0.0,0.0,171.0,243.0,11.0,182.0,254.0,11.0,0.0,2.0,11.0,0.6222222222222222,19.0,19.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,10.0,3.0,public
data-class,fitjava-1.1,fit,ActionFixture,1.0,1.8571428571428572,1.8571428571428572,1.0,5.0,7.0,2.0,3.0,0.5,65.0,1752.0,2453.0,65.0,25.0,1.0,0.0,3.0,40.0,60.0,0.0,1.0,0.0,0.0,0.0,171.0,243.0,7.0,182.0,254.0,7.0,1.0,2.0,46.0,0.9523809523809523,13.0,13.0,0.8333333333333334,0.0,other,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,0.0,public
data-class,fitjava-1.1,fit,TypeAdapter,1.0,3.2,3.0,0.0,1.0,18.0,1.0,18.0,0.8,239.0,1752.0,2453.0,244.0,0.0,0.0,1.0,5.0,40.0,60.0,17.0,9.0,0.0,0.0,0.0,171.0,243.0,10.0,182.0,254.0,11.0,5.0,2.0,29.0,0.34545454545454546,32.0,33.0,0.6,0.0,other,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,4.0,public
data-class,fitjava-1.1,fit,Fixture.RunTime,1.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,0.5,19.0,1752.0,2453.0,19.0,0.0,1.0,0.0,2.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,171.0,243.0,2.0,182.0,254.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,public
data-class,fitjava-1.1,fit,TypeAdapter.ClassByteAdapter,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1752.0,2453.0,5.0,10.0,1.0,0.0,0.0,40.0,60.0,0.0,1.0,0.0,0.0,0.0,171.0,243.0,1.0,182.0,254.0,1.0,0.0,2.0,28.0,1.0,1.0,1.0,1.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
data-class,jasml-0.10,com.jasml.compiler,GrammerException,1.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,18.0,2639.0,6694.0,18.0,15.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,4.0,109.0,245.0,4.0,0.0,4.0,9.0,1.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,public
data-class,jasml-0.10,com.jasml.compiler,ParsingException,1.0,2.1666666666666665,2.1666666666666665,0.0,0.0,0.0,3.0,0.0,0.6,50.0,2639.0,6694.0,50.0,14.0,1.0,0.0,3.0,8.0,48.0,0.0,1.0,0.0,1.0,1.0,100.0,233.0,6.0,109.0,245.0,6.0,0.0,4.0,6.0,1.0,13.0,13.0,1.0,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,public
data-class,jasml-0.10,com.jasml.compiler,SourceCodeParser,4.0,11.310344827586206,11.310344827586206,106.0,27.0,51.0,1.0,25.0,0.7232142857142857,1371.0,2639.0,6694.0,1371.0,0.0,0.0,0.0,4.0,8.0,48.0,2.0,0.0,1.0,1.0,1.0,100.0,233.0,29.0,109.0,245.0,29.0,0.0,4.0,87.0,1.0,328.0,328.0,1.0,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,23.0,6.0,3.0,0.0,1.0,25.0,0.0,0.0,4.0,27.0,6.0,public
data-class,jasml-0.10,com.jasml.compiler,JavaClassDumpper,1.0,4.7,4.7,96.0,28.0,1.0,1.0,1.0,0.48148148148148145,243.0,2639.0,6694.0,243.0,0.0,0.0,0.0,3.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,10.0,109.0,245.0,10.0,0.0,4.0,12.0,1.0,47.0,47.0,1.0,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0,9.0,0.0,public
data-class,jasml-0.10,com.jasml.compiler,SourceCodeParser.OpcodeWrapper,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,14.0,2639.0,6694.0,14.0,0.0,0.0,0.0,1.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,2.0,109.0,245.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,0.6666666666666666,1.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,private
data-class,jasml-0.10,com.jasml.classes,Attribute_Code,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,76.0,1690.0,6694.0,76.0,0.0,0.0,0.0,8.0,32.0,48.0,2.0,0.0,0.0,0.0,1.0,46.0,233.0,2.0,48.0,245.0,2.0,8.0,4.0,3.0,1.0,2.0,2.0,0.2,0.0,other,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,public
data-class,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,1.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,15.0,44.0,7842.0,15.0,11.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,2.0,5.0,541.0,2.0,0.0,11.0,21.0,0.0,2.0,2.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,public
data-class,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,1.0,1.3333333333333333,1.3333333333333333,0.0,5.0,2.0,2.0,2.0,0.0,29.0,44.0,7842.0,29.0,7.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,3.0,5.0,541.0,3.0,0.0,11.0,15.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,public
data-class,jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,4.0,1.0,1.0,15.0,9.0,3.0,1.0,3.0,0.9717948717948718,330.0,1293.0,7842.0,330.0,0.0,0.0,39.0,20.0,5.0,58.0,0.0,0.0,0.0,0.0,2.0,27.0,326.0,1.0,138.0,541.0,40.0,0.0,11.0,58.0,0.08717948717948718,1.0,40.0,0.025,0.0,other,0.0,0.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,41.0,1.0,0.0,public
data-class,jFin_DateMath-R1.0.1,org.jfin.date.web.example,FloatPeriod,4.0,1.0,1.0,5.0,7.0,3.0,2.0,4.0,0.8981481481481483,37.0,1293.0,7842.0,199.0,10.0,1.0,18.0,9.0,5.0,58.0,0.0,0.0,0.0,0.0,2.0,27.0,326.0,7.0,138.0,541.0,25.0,0.0,11.0,40.0,0.24333333333333335,7.0,25.0,0.28,0.0,other,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,26.0,7.0,0.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,1.0,3.3333333333333335,3.3333333333333335,1.0,2.0,3.0,5.0,2.0,0.0,88.0,619.0,10835.0,88.0,72.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,5.0,28.0,445.0,3.0,34.0,502.0,3.0,0.0,4.0,6.0,1.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,1.0,1.75,1.8333333333333333,0.0,1.0,1.0,1.0,1.0,0.9373040752351096,390.0,619.0,10835.0,518.0,0.0,0.0,6.0,11.0,3.0,56.0,0.0,0.0,1.0,0.0,5.0,28.0,445.0,24.0,34.0,502.0,30.0,0.0,4.0,31.0,0.26108374384236455,42.0,55.0,0.8,0.0,other,5.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,23.0,0.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html.parsers,SAXParser,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,13.0,619.0,10835.0,13.0,75.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,5.0,28.0,445.0,1.0,34.0,502.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,4.0,5.605263157894737,4.829787234042553,19.0,10.0,30.0,1.0,11.0,0.9492753623188406,1264.0,7963.0,10835.0,1342.0,0.0,0.0,9.0,48.0,40.0,56.0,3.0,0.0,2.0,5.0,5.0,277.0,445.0,38.0,322.0,502.0,47.0,1.0,4.0,77.0,0.4935897435897436,213.0,227.0,0.7096774193548387,0.0,other,24.0,5.0,19.0,24.0,19.0,0.0,0.0,1.0,0.0,7.0,5.0,2.0,41.0,41.0,0.0,0.0,1.0,13.0,7.0,34.0,9.0,31.0,38.0,2.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html,HTMLScanner,4.0,6.2439024390243905,5.92,0.0,5.0,26.0,1.0,10.0,0.9808673469387755,3405.0,7963.0,10835.0,3600.0,0.0,0.0,9.0,96.0,40.0,56.0,6.0,0.0,3.0,5.0,5.0,277.0,445.0,41.0,322.0,502.0,50.0,19.0,4.0,80.0,0.272895467160037,256.0,296.0,0.3953488372093023,0.0,other,55.0,8.0,47.0,41.0,47.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,46.0,41.0,5.0,0.0,2.0,15.0,3.0,62.0,21.0,25.0,41.0,7.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.ContentScanner,4.0,15.88888888888889,15.88888888888889,61.0,9.0,36.0,1.0,9.0,0.8823529411764706,1097.0,7963.0,10835.0,1097.0,0.0,0.0,0.0,2.0,40.0,56.0,0.0,0.0,1.0,5.0,5.0,277.0,445.0,18.0,322.0,502.0,18.0,0.0,4.0,61.0,0.2692307692307692,286.0,286.0,1.0,0.0,other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,2.0,5.0,0.0,12.0,2.0,18.0,0.0,public
data-class,nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.LocationItem,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,64.0,7963.0,10835.0,112.0,0.0,1.0,7.0,6.0,40.0,56.0,0.0,0.0,2.0,5.0,5.0,277.0,445.0,4.0,322.0,502.0,11.0,0.0,4.0,11.0,0.3611111111111111,4.0,11.0,0.3,1.0,other,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,10.0,2.0,0.0,protected
data-class,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,1.0,2.0,2.0,0.0,0.0,11.0,1.0,10.0,0.0,196.0,993.0,8432.0,196.0,0.0,0.0,0.0,0.0,30.0,91.0,10.0,0.0,0.0,4.0,9.0,106.0,567.0,4.0,111.0,585.0,4.0,0.0,3.0,15.0,0.0,8.0,8.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,public
data-class,trove-2.1.0,gnu.trove.benchmark,MemoryUsage.MemoryComparator,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,26.0,993.0,8432.0,26.0,0.0,0.0,0.0,3.0,30.0,91.0,0.0,0.0,0.0,4.0,9.0,106.0,567.0,2.0,111.0,585.0,2.0,0.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
data-class,trove-2.1.0,gnu.trove.benchmark,Result,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,67.0,993.0,8432.0,107.0,0.0,1.0,4.0,4.0,30.0,91.0,0.0,0.0,0.0,4.0,9.0,106.0,567.0,7.0,111.0,585.0,11.0,0.0,3.0,11.0,0.41818181818181815,7.0,11.0,0.6363636363636364,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,package
data-class,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,1.0,2.5,2.5,0.0,10.0,4.0,2.0,4.0,0.6,166.0,713.0,11929.0,166.0,14.0,1.0,0.0,5.0,7.0,66.0,1.0,0.0,0.0,0.0,10.0,34.0,479.0,4.0,36.0,629.0,4.0,0.0,13.0,34.0,0.5,10.0,10.0,1.0,0.0,other,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,public
data-class,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,1.0,6.0,6.0,2.0,3.0,1.0,1.0,1.0,0.0,34.0,713.0,11929.0,34.0,0.0,0.0,0.0,0.0,7.0,66.0,0.0,0.0,1.0,0.0,10.0,34.0,479.0,1.0,36.0,629.0,1.0,0.0,13.0,2.0,1.0,6.0,6.0,0.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,package
