dataset,project,package,complextype,method,severity,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
feature-envy,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintString),1,3,0,0,0,0,1,3,1,0,3,0,3,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,other,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,public
feature-envy,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethod(),3,0,0,10,3,0,3,33,6,0,6,0,23,0.294117647,5,6,5,3,6,0,0.833333333,0,11.31034483,11.31034483,106,27,51,1,25,0.723214286,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,other,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6,public
feature-envy,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodAttributes(MethodArrayListSourceCodeParser.LabeledInstructionsAttribute_CodeArrayList),3,5,0,9,2,0,4,48,10,0,6,0,17,0.166666667,1,3,2,6,3,0,0.333333333,0,11.31034483,11.31034483,106,27,51,1,25,0.723214286,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,other,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6,public
feature-envy,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodInstructions(Method),4,1,0,56,2,0,6,523,139,0,25,0,105,0.3,7,19,24,6,19,0,0.368421053,0,11.31034483,11.31034483,106,27,51,1,25,0.723214286,1371,2639,6694,1371,0,0,0,4,8,48,2,0,1,1,1,100,233,29,109,245,29,0,4,87,1,328,328,1,0,other,0,0,0,4,0,0,0,0,2,0,0,0,29,23,6,3,0,1,25,0,0,4,27,6,public
feature-envy,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,toString(Attribute_CodeHashSet),4,2,0,83,8,0,6,257,75,0,16,0,101,0.023529412,3,5,2,4,5,0,0.6,0,6.870967742,6.870967742,173,36,13,1,4,0.666666667,828,1422,6694,828,0,0,0,2,3,48,0,0,0,0,1,54,233,31,54,245,31,0,4,44,1,213,213,1,0,other,0,0,0,2,0,0,0,0,2,0,0,0,31,30,1,2,0,0,27,0,0,4,29,1,public
feature-envy,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isWeekend(Calendar),1,1,0,0,0,0,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,15,44,7842,15,11,0,0,0,2,58,0,0,0,0,2,5,326,2,5,541,2,0,11,21,0,2,2,1,0,other,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,public
feature-envy,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isHoliday(Calendar),1,1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,15,44,7842,15,11,0,0,0,2,58,0,0,0,0,2,5,326,2,5,541,2,0,11,21,0,2,2,1,0,other,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,public
feature-envy,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getAvailableLocales(),1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,1.333333333,0,5,2,2,2,0,29,44,7842,29,7,0,0,0,2,58,0,0,0,0,2,5,326,3,5,541,3,0,11,15,0,4,4,1,0,other,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,public
feature-envy,jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,getCurrency(),1,0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,15,9,3,1,3,0.971794872,330,1293,7842,330,0,0,39,20,5,58,0,0,0,0,2,27,326,1,138,541,40,0,11,58,0.087179487,1,40,0.025,0,other,0,0,0,19,1,1,0,1,0,0,0,0,41,41,0,0,0,20,0,0,0,41,1,0,public
feature-envy,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,generateSchedule(CalendarCalendarintintStubTypePeriodint),3,7,0,9,2,0,5,176,23,0,18,0,32,0.1,3,3,1,2,7,0,0.428571429,1,2.5,2.5,13,6,5,1,5,1,538,1447,7842,538,0,0,0,1,10,58,0,0,0,1,2,60,326,18,77,541,18,0,11,31,0.784313725,45,45,1,0,other,0,0,0,0,1,1,0,0,0,0,0,0,18,0,18,0,0,1,0,0,0,18,18,18,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,DOMParser(),1,0,0,0,0,0,2,18,3,0,1,0,0,0,1,1,0,0,1,0,1,0,3.333333333,3.333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,other,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,doctypeDecl(StringStringStringAugmentations),1,4,0,1,1,0,2,27,4,0,6,0,7,0,1,2,0,1,2,0,0.5,0,3.333333333,3.333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,other,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,getParserSubVersion(),1,0,0,1,1,0,3,12,3,0,4,0,4,0,1,2,0,0,2,0,0.5,1,3.333333333,3.333333333,1,2,3,5,2,0,88,619,10835,88,72,0,0,0,3,56,0,0,0,0,5,28,445,3,34,502,3,0,4,6,1,10,10,1,0,other,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,1,0,0,2,2,1,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,DOMFragmentParser(),1,0,0,0,0,0,1,7,1,0,0,0,4,1,1,1,4,0,1,0,1,0,1.75,1.833333333,0,1,1,1,1,0.937304075,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.261083744,42,55,0.8,0,other,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(StringDocumentFragment),1,2,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,1,0,0,0,0,1.75,1.833333333,0,1,1,1,1,0.937304075,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.261083744,42,55,0.8,0,other,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(InputSourceDocumentFragment),1,2,0,0,0,0,3,30,3,0,10,0,14,1,0,0,4,0,0,0,0,0,1.75,1.833333333,0,1,1,1,1,0.937304075,390,619,10835,518,0,0,6,11,3,56,0,0,1,0,5,28,445,24,34,502,30,0,4,31,0.261083744,42,55,0.8,0,other,5,0,5,6,5,0,0,0,1,0,0,0,30,30,0,0,0,0,0,11,0,30,23,0,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,startElement(QNameXMLAttributesAugmentations),3,3,0,15,2,0,7,206,60,0,19,0,52,0.428571429,5,11,15,12,11,0,0.454545455,0,5.605263158,4.829787234,19,10,30,1,11,0.949275362,1264,7963,10835,1342,0,0,9,48,40,56,3,0,2,5,5,277,445,38,322,502,47,1,4,77,0.493589744,213,227,0.709677419,0,other,24,5,19,24,19,0,0,1,0,7,5,2,41,41,0,0,1,13,7,34,9,31,38,2,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html,ObjectFactory,createObject(StringStringString),1,3,0,0,0,0,7,111,21,0,17,0,18,1,2,6,4,4,6,0,0.333333333,1,7.714285714,7.714285714,0,1,10,1,2,0.9,469,7963,10835,469,0,0,0,5,40,56,1,0,0,5,5,277,445,7,322,502,7,0,4,17,0.3,54,54,0,0,other,3,0,3,0,5,2,0,0,0,0,0,0,7,0,7,0,5,5,2,0,0,0,7,7,package
feature-envy,nekohtml-1.9.14,org.cyberneko.html,HTMLConfiguration,setInputSource(XMLInputSource),3,1,0,19,1,0,1,7,2,0,1,0,32,0.095238095,1,0,2,1,1,0,1,0,3.111111111,2.166666667,22,9,13,2,8,0.989966555,488,7963,10835,624,8,0,15,26,40,56,1,0,1,5,5,277,445,9,322,502,24,0,4,41,0.177865613,28,52,0.285714286,0,other,16,5,11,7,14,3,0,0,1,0,0,0,24,24,0,0,0,1,0,25,3,21,8,0,public
feature-envy,nekohtml-1.9.14,org.cyberneko.html,HTMLScanner.ContentScanner,scan(boolean),3,1,0,33,5,0,7,142,42,0,12,0,51,0,7,16,0,9,21,0,0.333333333,0,15.88888889,15.88888889,61,9,36,1,9,0.882352941,1097,7963,10835,1097,0,0,0,2,40,56,0,0,1,5,5,277,445,18,322,502,18,0,4,61,0.269230769,286,286,1,0,other,2,2,0,0,0,0,0,1,0,0,0,0,19,19,0,0,0,2,5,0,12,2,18,0,public
feature-envy,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,sizeOf(MemoryUsage.Creator),1,1,1,0,0,1,3,18,3,0,9,0,9,0,1,1,0,1,1,0,1,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,other,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4,public
feature-envy,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,getUsedMemory(),1,0,0,0,0,0,1,8,1,0,3,0,3,0,0,0,0,1,0,0,0,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,other,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4,public
feature-envy,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,gc(),1,0,1,0,0,1,2,14,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,other,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4,public
feature-envy,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,main(String[]),1,1,0,0,0,0,2,31,2,0,6,0,5,0,9,10,0,0,10,0,0.9,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,other,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4,public
feature-envy,trove-2.1.0,gnu.trove,TLinkedList.IteratorImpl,IteratorImpl(int),2,1,1,5,2,1,3,22,8,0,2,0,7,0,1,2,0,0,2,0,0.5,0,2.5,2.636363636,6,3,6,1,3,1,170,7010,8432,197,0,0,1,3,59,91,0,0,1,5,9,451,567,10,464,585,11,0,3,18,0,25,29,0.888888889,0,final,0,0,0,3,0,0,0,0,1,9,9,0,2,2,0,0,1,3,1,0,0,9,9,0,protected
feature-envy,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,initialize(CacheConfig),1,2,0,0,0,0,5,79,3,0,10,0,15,1,4,4,5,1,4,0,1,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,other,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0,public
feature-envy,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,finialize(),1,0,0,0,0,0,3,15,4,0,1,0,3,1,0,0,2,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,other,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0,public
feature-envy,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,sendNotification(ClusterNotification),1,1,0,0,0,0,2,12,2,0,3,0,7,1,0,0,4,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,other,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0,public
feature-envy,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,getInitialContext(),1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,other,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0,public
feature-envy,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,onMessage(Message),1,1,0,2,1,0,3,32,6,0,4,0,6,0,1,1,0,0,1,0,1,0,6,6,2,3,1,1,1,0,34,713,11929,34,0,0,0,0,7,66,0,0,1,0,10,34,479,1,36,629,1,0,13,2,1,6,6,0,0,other,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,package
feature-envy,oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,put(ObjectObjectboolean),1,3,0,0,0,0,6,134,22,0,10,0,20,0.636363636,1,1,7,13,1,0,1,0,4.314814815,3.873015873,3,3,11,2,5,0.95371669,1910,2259,11929,2005,0,0,9,23,11,66,7,3,3,0,10,101,479,54,113,629,63,2,13,77,0.383503401,233,244,0,0,abstract,9,3,6,14,6,0,4,0,4,4,4,0,55,58,1,0,0,4,10,17,19,34,50,1,public
feature-envy,oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,remove(Objectbooleanboolean),1,3,0,3,1,0,6,122,24,0,12,0,25,0.5,2,1,7,10,4,0,0.5,0,4.314814815,3.873015873,3,3,11,2,5,0.95371669,1910,2259,11929,2005,0,0,9,23,11,66,7,3,3,0,10,101,479,54,113,629,63,2,13,77,0.383503401,233,244,0,0,abstract,9,3,6,14,6,0,4,0,4,4,4,0,55,58,1,0,0,4,10,17,19,34,50,1,public
feature-envy,quilt-0.6-a-5,org.quilt.reg,Registry,comparator(),1,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1.545454545,1.545454545,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.622222222,17,17,1,0,other,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0,public
feature-envy,quilt-0.6-a-5,org.quilt.reg,Registry,containsKey(String[]),1,1,0,0,0,0,2,6,2,0,1,0,2,1,0,0,1,0,0,0,0,0,1.545454545,1.545454545,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.622222222,17,17,1,0,other,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0,public
feature-envy,quilt-0.6-a-5,org.quilt.reg,Registry,get(String[]),1,1,1,0,0,4,2,10,3,0,1,0,2,1,0,0,1,0,0,0,0,0,1.545454545,1.545454545,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.622222222,17,17,1,0,other,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0,public
feature-envy,quilt-0.6-a-5,org.quilt.cl,GraphTransformer,makeGraph(ClassGenMethodGen),3,2,0,10,5,0,6,181,29,0,24,0,40,0.166666667,9,15,2,1,24,0,0.375,0,8,7.285714286,11,13,20,1,12,0.866666667,306,2893,8425,321,0,0,1,5,14,66,0,0,0,4,8,112,438,6,139,641,7,0,14,38,0.2,48,51,0.75,0,other,0,0,0,5,0,0,0,0,1,3,2,1,4,4,0,0,0,5,1,0,2,4,5,1,public
feature-envy,quilt-0.6-a-5,org.quilt.cover.stmt,GraphAction.LampLighter,discoverEdge(Edge),3,1,0,14,6,0,8,110,20,1,15,2,33,0.066666667,7,6,1,0,18,2,0.388888889,0,3.714285714,3.714285714,14,9,6,1,7,0.833333333,130,1008,8425,130,0,0,0,1,8,66,0,0,3,0,8,45,438,7,55,641,7,0,14,25,0.066666667,26,26,1,0,other,0,0,0,1,0,0,0,0,1,0,0,0,7,7,0,0,0,1,0,0,0,7,6,0,private
feature-envy,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,GraphXmlSerializer(GraphPluginISessionGraphMainPanelTabString),1,4,1,1,1,1,3,22,3,0,6,0,10,0.75,1,0,3,1,1,0,1,0,2.222222222,2.222222222,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,other,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2,public
feature-envy,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,write(GraphControllerXmlBean),1,1,1,1,1,1,2,18,2,0,5,0,9,0.75,1,0,3,0,1,0,1,0,2.222222222,2.222222222,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,other,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2,public
feature-envy,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,read(),1,0,1,0,0,1,2,13,2,0,2,0,3,1,0,0,1,0,0,0,0,0,2.222222222,2.222222222,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,other,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2,public
feature-envy,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,getFileName(StringStringString),1,3,0,0,0,0,2,13,2,0,7,0,8,1,0,0,1,2,0,0,0,0,2.222222222,2.222222222,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,other,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2,public
feature-envy,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph,ConstraintData,replaceCopiedColsByReferences(ColumnInfo[]boolean),2,2,1,6,1,1,5,23,5,0,4,0,16,0.142857143,1,1,1,0,6,0,0.166666667,0,2.5,2.055555556,12,3,6,1,2,0.803921569,190,7206,8378,240,0,0,6,6,132,153,0,0,0,16,16,463,510,12,551,689,18,0,3,40,0.428571429,30,37,0.666666667,0,other,0,0,0,6,0,0,0,0,3,0,0,0,18,18,0,0,0,6,0,0,0,18,9,0,public
feature-envy,jparse-0.96,jparse.expr,BooleanLiteralAST,BooleanLiteralAST(Token),1,1,0,1,1,0,1,5,1,0,1,0,4,0.666666667,1,1,2,0,1,0,1,0,1,1,0,9,2,6,2,0,29,2303,16524,29,45,0,0,0,26,65,0,0,0,0,4,159,673,5,198,780,5,0,3,18,0,5,5,1,0,final,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,3,2,4,0,public
