dataset,project,package,complextype,method,severity,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
long-method,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(String),1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,5.0,2.0,2.0,2.0,0.0,29.0,44.0,7842.0,29.0,7.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,3.0,5.0,541.0,3.0,0.0,11.0,15.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(StringClass),1.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.3333333333333333,1.3333333333333333,0.0,5.0,2.0,2.0,2.0,0.0,29.0,44.0,7842.0,29.0,7.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,3.0,5.0,541.0,3.0,0.0,11.0,15.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getAvailableLocales(),1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,5.0,2.0,2.0,2.0,0.0,29.0,44.0,7842.0,29.0,7.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,3.0,5.0,541.0,3.0,0.0,11.0,15.0,0.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date.web.example,PlainSwap,getCurrency(),1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,9.0,3.0,1.0,3.0,0.9717948717948718,330.0,1293.0,7842.0,330.0,0.0,0.0,39.0,20.0,5.0,58.0,0.0,0.0,0.0,0.0,2.0,27.0,326.0,1.0,138.0,541.0,40.0,0.0,11.0,58.0,0.08717948717948718,1.0,40.0,0.025,0.0,other,0.0,0.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,41.0,1.0,0.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date,ScheduleGenerator,generateSchedule(CalendarCalendarintintStubTypePeriodint),3.0,7.0,0.0,9.0,2.0,0.0,5.0,176.0,23.0,0.0,18.0,0.0,32.0,0.1,3.0,3.0,1.0,2.0,7.0,0.0,0.42857142857142855,1.0,2.5,2.5,13.0,6.0,5.0,1.0,5.0,1.0,538.0,1447.0,7842.0,538.0,0.0,0.0,0.0,1.0,10.0,58.0,0.0,0.0,0.0,1.0,2.0,60.0,326.0,18.0,77.0,541.0,18.0,0.0,11.0,31.0,0.7843137254901961,45.0,45.0,1.0,0.0,other,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,18.0,18.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,DOMParser(),1.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.3333333333333335,3.3333333333333335,1.0,2.0,3.0,5.0,2.0,0.0,88.0,619.0,10835.0,88.0,72.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,5.0,28.0,445.0,3.0,34.0,502.0,3.0,0.0,4.0,6.0,1.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,doctypeDecl(StringStringStringAugmentations),1.0,4.0,0.0,1.0,1.0,0.0,2.0,27.0,4.0,0.0,6.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.5,0.0,3.3333333333333335,3.3333333333333335,1.0,2.0,3.0,5.0,2.0,0.0,88.0,619.0,10835.0,88.0,72.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,5.0,28.0,445.0,3.0,34.0,502.0,3.0,0.0,4.0,6.0,1.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMParser,getParserSubVersion(),1.0,0.0,0.0,1.0,1.0,0.0,3.0,12.0,3.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0,3.3333333333333335,3.3333333333333335,1.0,2.0,3.0,5.0,2.0,0.0,88.0,619.0,10835.0,88.0,72.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,5.0,28.0,445.0,3.0,34.0,502.0,3.0,0.0,4.0,6.0,1.0,10.0,10.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,DOMFragmentParser(),1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.75,1.8333333333333333,0.0,1.0,1.0,1.0,1.0,0.9373040752351096,390.0,619.0,10835.0,518.0,0.0,0.0,6.0,11.0,3.0,56.0,0.0,0.0,1.0,0.0,5.0,28.0,445.0,24.0,34.0,502.0,30.0,0.0,4.0,31.0,0.26108374384236455,42.0,55.0,0.8,0.0,other,5.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,23.0,0.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(StringDocumentFragment),1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,1.8333333333333333,0.0,1.0,1.0,1.0,1.0,0.9373040752351096,390.0,619.0,10835.0,518.0,0.0,0.0,6.0,11.0,3.0,56.0,0.0,0.0,1.0,0.0,5.0,28.0,445.0,24.0,34.0,502.0,30.0,0.0,4.0,31.0,0.26108374384236455,42.0,55.0,0.8,0.0,other,5.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,23.0,0.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html.parsers,DOMFragmentParser,parse(InputSourceDocumentFragment),1.0,2.0,0.0,0.0,0.0,0.0,3.0,30.0,3.0,0.0,10.0,0.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.75,1.8333333333333333,0.0,1.0,1.0,1.0,1.0,0.9373040752351096,390.0,619.0,10835.0,518.0,0.0,0.0,6.0,11.0,3.0,56.0,0.0,0.0,1.0,0.0,5.0,28.0,445.0,24.0,34.0,502.0,30.0,0.0,4.0,31.0,0.26108374384236455,42.0,55.0,0.8,0.0,other,5.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,23.0,0.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html,HTMLTagBalancer,startElement(QNameXMLAttributesAugmentations),4.0,3.0,0.0,15.0,2.0,0.0,7.0,206.0,60.0,0.0,19.0,0.0,52.0,0.42857142857142855,5.0,11.0,15.0,12.0,11.0,0.0,0.45454545454545453,0.0,5.605263157894737,4.829787234042553,19.0,10.0,30.0,1.0,11.0,0.9492753623188406,1264.0,7963.0,10835.0,1342.0,0.0,0.0,9.0,48.0,40.0,56.0,3.0,0.0,2.0,5.0,5.0,277.0,445.0,38.0,322.0,502.0,47.0,1.0,4.0,77.0,0.4935897435897436,213.0,227.0,0.7096774193548387,0.0,other,24.0,5.0,19.0,24.0,19.0,0.0,0.0,1.0,0.0,7.0,5.0,2.0,41.0,41.0,0.0,0.0,1.0,13.0,7.0,34.0,9.0,31.0,38.0,2.0,public
long-method,nekohtml-1.9.14,org.cyberneko.html,ObjectFactory,createObject(StringStringString),3.0,3.0,0.0,0.0,0.0,0.0,7.0,111.0,21.0,0.0,17.0,0.0,18.0,1.0,2.0,6.0,4.0,4.0,6.0,0.0,0.3333333333333333,1.0,7.714285714285714,7.714285714285714,0.0,1.0,10.0,1.0,2.0,0.9,469.0,7963.0,10835.0,469.0,0.0,0.0,0.0,5.0,40.0,56.0,1.0,0.0,0.0,5.0,5.0,277.0,445.0,7.0,322.0,502.0,7.0,0.0,4.0,17.0,0.3,54.0,54.0,0.0,0.0,other,3.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,7.0,7.0,package
long-method,nekohtml-1.9.14,org.cyberneko.html,HTMLConfiguration,setInputSource(XMLInputSource),1.0,1.0,0.0,19.0,1.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,32.0,0.09523809523809523,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.111111111111111,2.1666666666666665,22.0,9.0,13.0,2.0,8.0,0.9899665551839465,488.0,7963.0,10835.0,624.0,8.0,0.0,15.0,26.0,40.0,56.0,1.0,0.0,1.0,5.0,5.0,277.0,445.0,9.0,322.0,502.0,24.0,0.0,4.0,41.0,0.17786561264822134,28.0,52.0,0.2857142857142857,0.0,other,16.0,5.0,11.0,7.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,1.0,0.0,25.0,3.0,21.0,8.0,0.0,public
